label,GBS,Hypothermia
Custom fixed-effects,1.30 (0.72-2.17),1.71 (0.67-3.67)
Grid fixed-effects,1.30 (0.72-2.16),1.73 (0.67-3.68)
Hermite interpolation fixed-effects,1.30 (0.72-2.17),1.72 (0.66-3.68)
Normal fixed-effects,1.51 (0.85-2.66),1.94 (0.80-4.75)
Pooled fixed-effects,1.30 (0.72-2.17),1.72 (0.66-3.68)
Custom random-effects,1.27 (0.62-2.59),1.53 (0.56-3.87)
Grid random-effects,1.27 (0.61-2.60),1.53 (0.56-4.00)
Hermite interpolation random-effects,1.28 (0.62-2.66),1.49 (0.55-3.70)
Normal random-effects,1.49 (0.74-3.00),1.89 (0.70-5.09)
Pooled random-effects,1.27 (0.62-2.63),1.51 (0.59-3.90)
Normal traditional random-effects,1.50 (0.78-2.86),1.94 (0.80-4.75)
